id,credit_score,state,gender,age,tenure,balance,no_of_products,credit_card,active,estimated_salary,churn
269976851321,686,Mumbai,Male,32,6,0.0,2,1,1,179093.26,0
685873070169,632,New Delhi,Male,42,4,119624.6,2,1,1,195978.86,0
461791082404,559,Bangalore,Male,24,3,114739.92,1,1,0,85891.02,1
674358499391,561,Mumbai,Female,27,9,135637.0,1,1,0,143080.4,1
440085432991,517,Mumbai,Male,56,9,142147.32,1,0,0,39488.04,1
488751685189,569,Mumbai,Male,41,4,120243.49,1,1,0,163140.03,1
955830487825,683,Mumbai,Female,40,1,0.0,2,0,0,75762.0,0
915329300883,759,Mumbai,Female,45,8,0.0,2,1,1,99251.24,0
166959004465,426,Mumbai,Female,34,3,0.0,2,1,1,61230.83,0
663090175754,601,Mumbai,Male,74,2,0.0,2,0,1,51454.58,0
272631132654,735,Mumbai,Female,53,8,123845.36,2,0,1,170454.93,1
744867968997,667,Bangalore,Female,39,2,0.0,2,1,0,40721.24,1
397112170093,741,Mumbai,Male,32,5,0.0,1,1,1,64839.23,0
135099369422,511,Mumbai,Female,30,5,0.0,2,1,0,143994.86,0
649456632887,508,Mumbai,Female,41,5,0.0,2,1,1,94170.84,0
446591462723,529,Mumbai,Female,31,7,0.0,2,1,1,175697.87,0
341900904715,673,Mumbai,Female,44,8,133444.97,1,0,1,5708.19,0
446552867479,514,Bangalore,Male,40,10,121355.99,1,1,0,138360.29,0
611482597893,850,New Delhi,Male,49,8,98649.55,1,1,0,119174.88,1
523749536126,627,New Delhi,Male,28,5,71097.23,1,1,1,130504.49,0
303123695711,636,Mumbai,Male,36,5,117559.05,2,1,1,111473.3,0
509854209673,798,Mumbai,Male,28,3,0.0,2,1,0,2305.27,0
688890063160,700,New Delhi,Male,35,4,95853.39,2,1,0,192933.37,0
273961875481,514,Mumbai,Male,35,3,121030.9,1,1,0,10008.68,0
413979294858,713,Mumbai,Female,37,8,0.0,1,1,1,16403.41,0
207878622867,467,New Delhi,Male,28,10,126314.26,1,1,0,32349.29,1
316831848640,689,New Delhi,Male,33,2,161814.64,2,1,0,169381.9,0
266607334440,510,New Delhi,Male,31,0,113688.63,1,1,0,33099.41,1
987771898320,618,Mumbai,Male,56,7,0.0,1,1,1,142400.27,1
352384622304,474,Mumbai,Male,45,10,0.0,2,0,0,172175.9,0
166259917061,754,Mumbai,Male,37,6,0.0,1,1,1,116141.72,0
964180506745,703,Mumbai,Male,56,9,0.0,1,0,0,85547.33,1
450611169857,683,Mumbai,Male,30,10,57657.49,1,0,0,79240.9,0
666354805554,597,Mumbai,Female,26,8,149989.39,1,1,0,42330.58,0
499339487357,812,Mumbai,Male,24,10,0.0,2,1,1,146906.14,0
288045189226,832,Bangalore,Female,34,6,138190.13,2,0,1,146511.2,0
599702757086,506,Mumbai,Male,43,2,0.0,2,1,0,105568.6,0
322889392007,685,Mumbai,Female,40,7,0.0,1,1,0,72852.74,1
124823592184,632,New Delhi,Female,50,5,107959.39,1,1,1,6985.34,1
455418803150,666,Mumbai,Female,27,4,0.0,2,0,0,88751.45,0
457781516656,775,New Delhi,Female,38,6,179886.41,2,0,0,143122.58,0
906065842048,698,Bangalore,Female,39,9,161993.89,1,0,0,90212.38,0
261240674257,657,Mumbai,Female,39,4,80293.81,1,1,0,97192.76,0
416632629843,748,Mumbai,Female,34,8,0.0,2,1,0,53584.03,0
327296852097,642,New Delhi,Female,56,6,103244.86,2,1,0,143049.72,1
581954738188,844,Mumbai,Female,29,8,0.0,2,0,0,147342.03,0
820911734713,766,Mumbai,Female,45,6,0.0,2,0,0,147184.74,0
